what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1276001182959
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1276001183038
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1276001183069
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1276001183100
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1276001183131
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1276001183209
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1276001183256
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1276001183272
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1276001183272
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1276001183319
os,sysinfo,,,"win32",1276001183319
arch,sysinfo,,,"x86",1276001183319
ws,sysinfo,,,"win32",1276001183319
locale,sysinfo,,,"en_US",1276001183319
processors,sysinfo,,,"1",1276001183319
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1276001183319
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1276001183319
java.specification.name,sysinfo,,,"Java Platform API Specification",1276001183319
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276001183319
java.specification.version,sysinfo,,,"1.6",1276001183319
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1276001183319
java.version,sysinfo,,,"1.6.0_20",1276001183319
java.vm.info,sysinfo,,,"mixed mode",1276001183319
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1276001183319
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1276001183319
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276001183319
java.vm.specification.version,sysinfo,,,"1.0",1276001183319
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1276001183319
java.vm.version,sysinfo,,,"16.3-b01",1276001183319
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1276001183709
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1276001184163
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1276001184163
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1276001184163
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1276001184178
started,bundle,org.eclipse.jst.jsf.common,1.1.9.v201001271707,"org.eclipse.jst.jsf.common",1276001184256
started,bundle,org.eclipse.jst.jsf.core,1.2.5.v201001271707,"org.eclipse.jst.jsf.core",1276001184303
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1276001184819
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1276001184881
