what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1276274737318
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1276274737349
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1276274737380
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1276274737443
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1276274737474
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1276274737521
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1276274737521
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1276274737614
os,sysinfo,,,"win32",1276274737614
arch,sysinfo,,,"x86",1276274737614
ws,sysinfo,,,"win32",1276274737614
locale,sysinfo,,,"en_US",1276274737614
processors,sysinfo,,,"1",1276274737614
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1276274737614
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1276274737614
java.specification.name,sysinfo,,,"Java Platform API Specification",1276274737614
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276274737614
java.specification.version,sysinfo,,,"1.6",1276274737614
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1276274737614
java.version,sysinfo,,,"1.6.0_20",1276274737614
java.vm.info,sysinfo,,,"mixed mode",1276274737614
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1276274737614
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1276274737614
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1276274737614
java.vm.specification.version,sysinfo,,,"1.0",1276274737614
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1276274737614
java.vm.version,sysinfo,,,"16.3-b01",1276274737614
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1276274737646
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1276274738177
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1276274738521
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1276274738521
started,bundle,org.eclipse.jem.util,2.0.201.v201001252130,"org.eclipse.jem.util",1276274738552
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1276274738583
started,bundle,org.eclipse.jst.jsf.common,1.1.9.v201001271707,"org.eclipse.jst.jsf.common",1276274738818
started,bundle,org.eclipse.jst.jsf.core,1.2.5.v201001271707,"org.eclipse.jst.jsf.core",1276274739036
started,bundle,org.eclipse.mylyn.commons.net,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.commons.net",1276274739302
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.1.v200911141836,"org.eclipse.jst.common.project.facet.core",1276274739380
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1276274739505
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1276274739755
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1276274739833
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1276274739974
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1276274740052
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1276274740114
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1276274740489
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1276274740505
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1276274740568
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1276274740677
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1276274740693
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1276274740911
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1276274748099
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1276274748364
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1276274748614
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1276274751099
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276274761396
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276274763380
executed,command,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.edit.text.java.generate.hashcode.equals",1276274763786
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276275398161
started,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1276275398271
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276275401802
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276275404224
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1276275404599
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276275425193
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276275427755
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276275427911
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276275916474
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276275922239
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276115505
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1276276120364
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276276122193
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276122693
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276124583
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.100.v200809240707,"org.eclipse.wst.jsdt.manipulation",1276276126099
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1276276126724
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1276276126958
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276127224
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276134974
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276276136552
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1276276138989
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1276276139114
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1276276149755
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276151474
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276151708
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1276276157677
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276160755
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276163739
started,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1276276240114
started,bundle,org.eclipse.pde.api.tools,1.0.101.v20090714,"org.eclipse.pde.api.tools",1276276240239
started,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1276276240255
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1276276290896
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1276276292255
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276353036
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276353786
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276367114
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1276276369239
